schema_version,trial,cta,start_gpu_ns,end_gpu_ns
2,0,0,1789633732829453312,1789633732896288768
2,0,1,1789633732829453312,1789633732870656000
2,0,2,1789633732829453312,1789633732870659072
2,0,3,1789633732829453312,1789633732870654976
2,0,4,1789633732829453312,1789633732870653952
2,0,5,1789633732829453312,1789633732870657024
2,0,6,1789633732829453312,1789633732870654976
2,0,7,1789633732829453312,1789633732870657024
2,0,8,1789633732829453312,1789633732870656000
2,0,9,1789633732829453312,1789633732870658048
2,0,10,1789633732829453312,1789633732870653952
2,0,11,1789633732829453312,1789633732870656000
2,0,12,1789633732829453312,1789633732870657024
2,0,13,1789633732829453312,1789633732870654976
2,0,14,1789633732829453312,1789633732870654976
2,0,15,1789633732829453312,1789633732870657024
2,0,16,1789633732829453312,1789633732870658048
2,0,17,1789633732829453312,1789633732870657024
2,0,18,1789633732829453312,1789633732870657024
2,0,19,1789633732829453312,1789633732870656000
2,0,20,1789633732829453312,1789633732870657024
2,0,21,1789633732829453312,1789633732870657024
2,0,22,1789633732829453312,1789633732870657024
2,0,23,1789633732829453312,1789633732870656000
2,0,24,1789633732829453312,1789633732870656000
2,0,25,1789633732829453312,1789633732870653952
2,0,26,1789633732829453312,1789633732870659072
2,0,27,1789633732829453312,1789633732870653952
2,0,28,1789633732829453312,1789633732870657024
2,0,29,1789633732829453312,1789633732870656000
2,0,30,1789633732829453312,1789633732870657024
2,0,31,1789633732829453312,1789633732870656000
2,0,32,1789633732829453312,1789633732870656000
2,0,33,1789633732829453312,1789633732870657024
2,0,34,1789633732829453312,1789633732870657024
2,0,35,1789633732829453312,1789633732870658048
2,0,36,1789633732829453312,1789633732870654976
2,0,37,1789633732829453312,1789633732870657024
2,0,38,1789633732829453312,1789633732870656000
2,0,39,1789633732829453312,1789633732870656000
2,0,40,1789633732829453312,1789633732870658048
2,0,41,1789633732829453312,1789633732870652928
2,0,42,1789633732829453312,1789633732870654976
2,0,43,1789633732829453312,1789633732870657024
2,0,44,1789633732829453312,1789633732870654976
2,0,45,1789633732829453312,1789633732870657024
2,0,46,1789633732829453312,1789633732870654976
2,0,47,1789633732829453312,1789633732870653952
2,0,48,1789633732829453312,1789633732870657024
2,0,49,1789633732829453312,1789633732870656000
2,0,50,1789633732829453312,1789633732870656000
2,0,51,1789633732829453312,1789633732870658048
2,0,52,1789633732829453312,1789633732870658048
2,0,53,1789633732829453312,1789633732870658048
2,0,54,1789633732829453312,1789633732870657024
2,0,55,1789633732829453312,1789633732870654976
2,0,56,1789633732829453312,1789633732870656000
2,0,57,1789633732829453312,1789633732870656000
2,0,58,1789633732829453312,1789633732870653952
2,0,59,1789633732829453312,1789633732870656000
2,0,60,1789633732829453312,1789633732870657024
2,0,61,1789633732829453312,1789633732870654976
2,0,62,1789633732829453312,1789633732870654976
2,0,63,1789633732829453312,1789633732870657024
2,0,64,1789633732829453312,1789633732870657024
2,0,65,1789633732829453312,1789633732870656000
2,0,66,1789633732829453312,1789633732870658048
2,0,67,1789633732829453312,1789633732870658048
2,0,68,1789633732829453312,1789633732870657024
2,0,69,1789633732829453312,1789633732870656000
2,0,70,1789633732829453312,1789633732870656000
2,0,71,1789633732829453312,1789633732870657024
2,0,72,1789633732829453312,1789633732870658048
2,0,73,1789633732829453312,1789633732870656000
2,0,74,1789633732829453312,1789633732870657024
2,0,75,1789633732829453312,1789633732870654976
2,0,76,1789633732829453312,1789633732870657024
2,0,77,1789633732829453312,1789633732870656000
2,0,78,1789633732829453312,1789633732870654976
2,0,79,1789633732829453312,1789633732870657024
2,0,80,1789633732829453312,1789633732870658048
2,0,81,1789633732829453312,1789633732870656000
2,0,82,1789633732829453312,1789633732870657024
2,0,83,1789633732829453312,1789633732870656000
2,0,84,1789633732829453312,1789633732870654976
2,0,85,1789633732829453312,1789633732870652928
2,0,86,1789633732829453312,1789633732870658048
2,0,87,1789633732829453312,1789633732870656000
2,0,88,1789633732829453312,1789633732870658048
2,0,89,1789633732829453312,1789633732870657024
2,0,90,1789633732829453312,1789633732870657024
2,0,91,1789633732829453312,1789633732870658048
2,0,92,1789633732829453312,1789633732870657024
2,0,93,1789633732829453312,1789633732870654976
2,0,94,1789633732829453312,1789633732870659072
2,0,95,1789633732829453312,1789633732870657024
