schema_version,trial,sample,gpu_ns,cpu_observed_ns
2,0,0,1789630481635132416,3809097692658648
2,0,1,1789630481635145728,3809097692671563
2,0,2,1789630481635159040,3809097692684576
2,0,3,1789630481635171328,3809097692697407
2,0,4,1789630481635184640,3809097692710339
2,0,5,1789630481635196928,3809097692723171
2,0,6,1789630481635210240,3809097692736048
2,0,7,1789630481635222528,3809097692748948
2,0,8,1789630481635235840,3809097692761751
2,0,9,1789630481635249152,3809097692774707
2,0,10,1789630481635261440,3809097692787523
2,0,11,1789630481635274752,3809097692800406
2,0,12,1789630481635287040,3809097692813251
2,0,13,1789630481635300352,3809097692826126
2,0,14,1789630481635312640,3809097692838986
2,0,15,1789630481635325952,3809097692851879
2,0,16,1789630481635339264,3809097692864756
2,0,17,1789630481635351552,3809097692877626
2,0,18,1789630481635364864,3809097692890526
2,0,19,1789630481635377152,3809097692903474
2,0,20,1789630481635390464,3809097692916283
2,0,21,1789630481635402752,3809097692929131
2,0,22,1789630481635416064,3809097692941999
2,0,23,1789630481635429376,3809097692954979
2,0,24,1789630481635441664,3809097692967782
2,0,25,1789630481635454976,3809097692980656
2,0,26,1789630481635467264,3809097692993536
2,0,27,1789630481635480576,3809097693006422
2,0,28,1789630481635493888,3809097693019302
2,0,29,1789630481635506176,3809097693032171
2,0,30,1789630481635519488,3809097693045051
2,0,31,1789630481635531776,3809097693057866
2,0,32,1789630481635545088,3809097693070736
2,0,33,1789630481635557376,3809097693083616
2,0,34,1789630481635570688,3809097693096511
2,0,35,1789630481635582976,3809097693109388
2,0,36,1789630481635596288,3809097693122228
2,0,37,1789630481635609600,3809097693135122
2,0,38,1789630481635621888,3809097693147999
2,0,39,1789630481635635200,3809097693160876
2,0,40,1789630481635647488,3809097693173763
2,0,41,1789630481635660800,3809097693186631
2,0,42,1789630481635673088,3809097693199506
2,0,43,1789630481635686400,3809097693212451
2,0,44,1789630481635699712,3809097693225248
2,0,45,1789630481635712000,3809097693238142
2,0,46,1789630481635725312,3809097693251016
2,0,47,1789630481635737600,3809097693263854
2,0,48,1789630481635750912,3809097693276762
2,0,49,1789630481635764224,3809097693289628
2,0,50,1789630481635776512,3809097693302559
2,0,51,1789630481635789824,3809097693315406
2,0,52,1789630481635802112,3809097693328306
2,0,53,1789630481635815424,3809097693341131
2,0,54,1789630481635827712,3809097693353963
2,0,55,1789630481635841024,3809097693366962
2,0,56,1789630481635853312,3809097693379788
2,0,57,1789630481635866624,3809097693392599
2,0,58,1789630481635879936,3809097693405522
2,0,59,1789630481635892224,3809097693418442
2,0,60,1789630481635905536,3809097693431302
2,0,61,1789630481635917824,3809097693444216
2,0,62,1789630481635931136,3809097693457062
2,0,63,1789630481635944448,3809097693469954
2,0,64,1789630481635956736,3809097693482776
2,0,65,1789630481635970048,3809097693495642
2,0,66,1789630481635982336,3809097693508566
2,0,67,1789630481635995648,3809097693521394
2,0,68,1789630481636007936,3809097693534196
