schema_version,trial,cta,start_gpu_ns,end_gpu_ns
2,0,0,1789630481635113984,1789630481715733504
2,0,1,1789630481635113984,1789630481685417984
2,0,2,1789630481635113984,1789630481685421056
2,0,3,1789630481635113984,1789630481685417984
2,0,4,1789630481635113984,1789630481685419008
2,0,5,1789630481635113984,1789630481685420032
2,0,6,1789630481635113984,1789630481685419008
2,0,7,1789630481635113984,1789630481685417984
2,0,8,1789630481635113984,1789630481685419008
2,0,9,1789630481635113984,1789630481685419008
2,0,10,1789630481635113984,1789630481685417984
2,0,11,1789630481635113984,1789630481685419008
2,0,12,1789630481635113984,1789630481685416960
2,0,13,1789630481635113984,1789630481685419008
2,0,14,1789630481635113984,1789630481685417984
2,0,15,1789630481635113984,1789630481685419008
2,0,16,1789630481635113984,1789630481685420032
2,0,17,1789630481635113984,1789630481685417984
2,0,18,1789630481635113984,1789630481685416960
2,0,19,1789630481635113984,1789630481685419008
2,0,20,1789630481635113984,1789630481685416960
2,0,21,1789630481635113984,1789630481685417984
2,0,22,1789630481635113984,1789630481685422080
2,0,23,1789630481635113984,1789630481685423104
2,0,24,1789630481635113984,1789630481685419008
2,0,25,1789630481635113984,1789630481685417984
2,0,26,1789630481635113984,1789630481685422080
2,0,27,1789630481635113984,1789630481685420032
2,0,28,1789630481635113984,1789630481685420032
2,0,29,1789630481635113984,1789630481685415936
2,0,30,1789630481635113984,1789630481685424128
2,0,31,1789630481635113984,1789630481685414912
2,0,32,1789630481635113984,1789630481685417984
2,0,33,1789630481635113984,1789630481685417984
2,0,34,1789630481635113984,1789630481685419008
2,0,35,1789630481635113984,1789630481685419008
2,0,36,1789630481635113984,1789630481685419008
2,0,37,1789630481635113984,1789630481685421056
2,0,38,1789630481635113984,1789630481685419008
2,0,39,1789630481635113984,1789630481685422080
2,0,40,1789630481635113984,1789630481685421056
2,0,41,1789630481635113984,1789630481685420032
2,0,42,1789630481635113984,1789630481685417984
2,0,43,1789630481635113984,1789630481685420032
