schema_version,trial,sample,gpu_ns,cpu_observed_ns
2,0,0,1789633761196008448,3812377313410990
2,0,1,1789633761196019712,3812377313422078
2,0,2,1789633761196030976,3812377313433163
2,0,3,1789633761196041216,3812377313444249
2,0,4,1789633761196052480,3812377313455320
2,0,5,1789633761196063744,3812377313466368
2,0,6,1789633761196075008,3812377313477410
2,0,7,1789633761196086272,3812377313488470
2,0,8,1789633761196096512,3812377313499526
2,0,9,1789633761196107776,3812377313510535
2,0,10,1789633761196119040,3812377313521635
2,0,11,1789633761196130304,3812377313532656
2,0,12,1789633761196141568,3812377313543684
2,0,13,1789633761196151808,3812377313554741
2,0,14,1789633761196163072,3812377313565804
2,0,15,1789633761196174336,3812377313576864
2,0,16,1789633761196185600,3812377313587921
2,0,17,1789633761196196864,3812377313598954
2,0,18,1789633761196207104,3812377313610006
2,0,19,1789633761196218368,3812377313621070
2,0,20,1789633761196229632,3812377313634286
2,0,21,1789633761196240896,3812377313643253
2,0,22,1789633761196252160,3812377313654347
2,0,23,1789633761196262400,3812377313665390
2,0,24,1789633761196273664,3812377313676477
2,0,25,1789633761196284928,3812377313687520
2,0,26,1789633761196296192,3812377313698545
2,0,27,1789633761196307456,3812377313709585
2,0,28,1789633761196317696,3812377313720607
2,0,29,1789633761196328960,3812377313731663
2,0,30,1789633761196340224,3812377313742680
2,0,31,1789633761196351488,3812377313753847
2,0,32,1789633761196362752,3812377313764905
2,0,33,1789633761196372992,3812377313775960
2,0,34,1789633761196384256,3812377313787040
2,0,35,1789633761196395520,3812377313798115
2,0,36,1789633761196406784,3812377313809147
2,0,37,1789633761196418048,3812377313820379
2,0,38,1789633761196429312,3812377313831415
2,0,39,1789633761196439552,3812377313842455
2,0,40,1789633761196450816,3812377313853517
2,0,41,1789633761196462080,3812377313864535
2,0,42,1789633761196473344,3812377313875605
2,0,43,1789633761196483584,3812377313886695
2,0,44,1789633761196494848,3812377313897760
2,0,45,1789633761196506112,3812377313908780
2,0,46,1789633761196517376,3812377313919890
2,0,47,1789633761196528640,3812377313930895
2,0,48,1789633761196539904,3812377313941994
2,0,49,1789633761196550144,3812377313953080
2,0,50,1789633761196561408,3812377313964127
2,0,51,1789633761196572672,3812377313975172
2,0,52,1789633761196583936,3812377313986260
2,0,53,1789633761196595200,3812377313997323
2,0,54,1789633761196605440,3812377314008407
2,0,55,1789633761196616704,3812377314019452
2,0,56,1789633761196627968,3812377314030543
2,0,57,1789633761196639232,3812377314041632
2,0,58,1789633761196650496,3812377314052770
2,0,59,1789633761196661760,3812377314063840
2,0,60,1789633761196672000,3812377314074847
2,0,61,1789633761196683264,3812377314085925
2,0,62,1789633761196694528,3812377314096992
2,0,63,1789633761196705792,3812377314108079
2,0,64,1789633761196717056,3812377314119155
2,0,65,1789633761196727296,3812377314130197
2,0,66,1789633761196738560,3812377314141305
2,0,67,1789633761196749824,3812377314152368
2,0,68,1789633761196761088,3812377314163505
2,0,69,1789633761196772352,3812377314174577
2,0,70,1789633761196783616,3812377314185655
2,0,71,1789633761196793856,3812377314196875
2,0,72,1789633761196805120,3812377314207923
2,0,73,1789633761196816384,3812377314218970
2,0,74,1789633761196827648,3812377314230040
2,0,75,1789633761196838912,3812377314241043
2,0,76,1789633761196849152,3812377314252067
2,0,77,1789633761196860416,3812377314263203
2,0,78,1789633761196871680,3812377314274267
2,0,79,1789633761196882944,3812377314285304
2,0,80,1789633761196894208,3812377314296353
2,0,81,1789633761196904448,3812377314307380
2,0,82,1789633761196915712,3812377314318465
2,0,83,1789633761196926976,3812377314329550
2,0,84,1789633761196938240,3812377314340605
2,0,85,1789633761196949504,3812377314351645
2,0,86,1789633761196959744,3812377314362693
2,0,87,1789633761196971008,3812377314373837
2,0,88,1789633761196982272,3812377314384897
2,0,89,1789633761196993536,3812377314395970
2,0,90,1789633761197004800,3812377314406985
2,0,91,1789633761197015040,3812377314418035
2,0,92,1789633761197026304,3812377314429083
2,0,93,1789633761197037568,3812377314440137
2,0,94,1789633761197048832,3812377314451185
2,0,95,1789633761197060096,3812377314462274
2,0,96,1789633761197070336,3812377314473293
2,0,97,1789633761197081600,3812377314484377
2,0,98,1789633761197092864,3812377314495427
2,0,99,1789633761197104128,3812377314506487
2,0,100,1789633761197115392,3812377314517540
2,0,101,1789633761197125632,3812377314528585
2,0,102,1789633761197136896,3812377314539652
2,0,103,1789633761197148160,3812377314550740
2,0,104,1789633761197159424,3812377314561799
2,0,105,1789633761197170688,3812377314572880
2,0,106,1789633761197180928,3812377314583919
2,0,107,1789633761197192192,3812377314594940
2,0,108,1789633761197203456,3812377314606030
2,0,109,1789633761197214720,3812377314617060
2,0,110,1789633761197225984,3812377314628107
2,0,111,1789633761197236224,3812377314639187
2,0,112,1789633761197247488,3812377314650257
2,0,113,1789633761197258752,3812377314661290
2,0,114,1789633761197270016,3812377314672385
2,0,115,1789633761197281280,3812377314683470
2,0,116,1789633761197291520,3812377314694597
