schema_version,trial,cta,start_gpu_ns,end_gpu_ns
2,0,0,1789637376082047744,1789637376146995648
2,0,1,1789637376082047712,1789637376123254784
2,0,2,1789637376082048064,1789637376123254848
2,0,3,1789637376082047712,1789637376123261824
2,0,4,1789637376082047744,1789637376123256832
2,0,5,1789637376082048032,1789637376123261312
2,0,6,1789637376082048032,1789637376123258368
2,0,7,1789637376082047744,1789637376123256352
2,0,8,1789637376082047776,1789637376123254336
2,0,9,1789637376082048096,1789637376123257056
2,0,10,1789637376082047776,1789637376123256288
2,0,11,1789637376082047776,1789637376123253312
2,0,12,1789637376082048032,1789637376123257632
2,0,13,1789637376082048032,1789637376123256864
2,0,14,1789637376082047808,1789637376123255072
2,0,15,1789637376082047776,1789637376123255680
2,0,16,1789637376082048128,1789637376123256992
2,0,17,1789637376082047776,1789637376123255584
2,0,18,1789637376082047808,1789637376123254912
2,0,19,1789637376082048064,1789637376123255936
2,0,20,1789637376082048096,1789637376123255712
2,0,21,1789637376082047744,1789637376123256928
2,0,22,1789637376082047712,1789637376123256064
2,0,23,1789637376082048096,1789637376123255872
2,0,24,1789637376082047712,1789637376123257696
2,0,25,1789637376082047776,1789637376123256512
2,0,26,1789637376082048032,1789637376123257152
2,0,27,1789637376082048064,1789637376123255232
2,0,28,1789637376082047808,1789637376123254592
2,0,29,1789637376082047776,1789637376123255328
2,0,30,1789637376082048096,1789637376123256928
2,0,31,1789637376082047808,1789637376123255712
2,0,32,1789637376082047776,1789637376123258976
2,0,33,1789637376082048032,1789637376123257216
2,0,34,1789637376082048000,1789637376123255168
2,0,35,1789637376082047808,1789637376123256544
2,0,36,1789637376082047744,1789637376123256064
2,0,37,1789637376082048096,1789637376123256992
2,0,38,1789637376082047744,1789637376123256672
2,0,39,1789637376082047776,1789637376123253056
2,0,40,1789637376082048064,1789637376123256640
2,0,41,1789637376082048064,1789637376123257152
2,0,42,1789637376082047744,1789637376123254784
2,0,43,1789637376082047712,1789637376123257024
2,0,44,1789637376082048032,1789637376123255136
2,0,45,1789637376082047712,1789637376123255520
2,0,46,1789637376082047712,1789637376123258048
2,0,47,1789637376082048064,1789637376123256512
2,0,48,1789637376082048064,1789637376123260032
2,0,49,1789637376082047744,1789637376123256288
2,0,50,1789637376082047776,1789637376123257120
2,0,51,1789637376082048064,1789637376123256096
2,0,52,1789637376082047808,1789637376123254656
2,0,53,1789637376082047744,1789637376123255776
2,0,54,1789637376082047744,1789637376123258080
2,0,55,1789637376082047712,1789637376123256384
2,0,56,1789637376082048032,1789637376123257856
2,0,57,1789637376082047712,1789637376123256128
2,0,58,1789637376082047712,1789637376123253088
2,0,59,1789637376082048032,1789637376123256768
2,0,60,1789637376082048032,1789637376123255584
2,0,61,1789637376082047744,1789637376123255840
2,0,62,1789637376082047712,1789637376123254816
2,0,63,1789637376082048064,1789637376123258912
2,0,64,1789637376082047712,1789637376123254656
2,0,65,1789637376082047744,1789637376123257184
2,0,66,1789637376082048064,1789637376123260928
2,0,67,1789637376082048032,1789637376123257440
2,0,68,1789637376082047872,1789637376123253408
2,0,69,1789637376082047840,1789637376123256544
2,0,70,1789637376082048192,1789637376123257440
2,0,71,1789637376082047776,1789637376123253056
2,0,72,1789637376082047872,1789637376123254496
2,0,73,1789637376082048128,1789637376123255968
2,0,74,1789637376082048128,1789637376123257056
2,0,75,1789637376082047744,1789637376123256800
2,0,76,1789637376082047712,1789637376123254944
2,0,77,1789637376082048032,1789637376123259808
2,0,78,1789637376082047712,1789637376123255456
2,0,79,1789637376082047744,1789637376123257152
2,0,80,1789637376082048032,1789637376123255904
2,0,81,1789637376082048032,1789637376123256736
2,0,82,1789637376082047808,1789637376123259168
2,0,83,1789637376082047744,1789637376123254624
2,0,84,1789637376082048096,1789637376123256960
2,0,85,1789637376082047776,1789637376123258400
2,0,86,1789637376082047776,1789637376123256736
2,0,87,1789637376082048032,1789637376123256608
2,0,88,1789637376082048032,1789637376123258528
2,0,89,1789637376082047872,1789637376123255552
2,0,90,1789637376082047776,1789637376123258272
2,0,91,1789637376082048128,1789637376123258208
