schema_version,trial,sample,gpu_ns,cpu_observed_ns
2,0,0,1789633746060380160,3812362177501070
2,0,1,1789633746060391424,3812362177511923
2,0,2,1789633746060402688,3812362177522725
2,0,3,1789633746060412928,3812362177533583
2,0,4,1789633746060424192,3812362177544448
2,0,5,1789633746060435456,3812362177555433
2,0,6,1789633746060445696,3812362177566290
2,0,7,1789633746060456960,3812362177577136
2,0,8,1789633746060468224,3812362177587890
2,0,9,1789633746060478464,3812362177598750
2,0,10,1789633746060489728,3812362177618480
2,0,11,1789633746060499968,3812362177620360
2,0,12,1789633746060511232,3812362177631183
2,0,13,1789633746060521472,3812362177642050
2,0,14,1789633746060532736,3812362177652916
2,0,15,1789633746060544000,3812362177663763
2,0,16,1789633746060554240,3812362177674610
2,0,17,1789633746060565504,3812362177685373
2,0,18,1789633746060575744,3812362177696260
2,0,19,1789633746060587008,3812362177707060
2,0,20,1789633746060598272,3812362177717945
2,0,21,1789633746060608512,3812362177728873
2,0,22,1789633746060619776,3812362177739750
2,0,23,1789633746060630016,3812362177750610
2,0,24,1789633746060641280,3812362177761385
2,0,25,1789633746060652544,3812362177772266
2,0,26,1789633746060662784,3812362177783126
2,0,27,1789633746060674048,3812362177793993
2,0,28,1789633746060684288,3812362177804750
2,0,29,1789633746060695552,3812362177815600
2,0,30,1789633746060705792,3812362177826608
2,0,31,1789633746060717056,3812362177837470
2,0,32,1789633746060728320,3812362177848210
2,0,33,1789633746060738560,3812362177859070
2,0,34,1789633746060749824,3812362177869936
2,0,35,1789633746060761088,3812362177880720
2,0,36,1789633746060771328,3812362177891513
2,0,37,1789633746060782592,3812362177902393
2,0,38,1789633746060792832,3812362177913170
2,0,39,1789633746060804096,3812362177924077
2,0,40,1789633746060814336,3812362177935133
2,0,41,1789633746060825600,3812362177946017
2,0,42,1789633746060836864,3812362177956893
2,0,43,1789633746060847104,3812362177967616
2,0,44,1789633746060858368,3812362177978337
2,0,45,1789633746060868608,3812362177989056
2,0,46,1789633746060879872,3812362177999771
2,0,47,1789633746060890112,3812362178010500
2,0,48,1789633746060901376,3812362178021256
2,0,49,1789633746060911616,3812362178032060
2,0,50,1789633746060922880,3812362178042957
2,0,51,1789633746060934144,3812362178053696
2,0,52,1789633746060944384,3812362178064537
2,0,53,1789633746060955648,3812362178075288
2,0,54,1789633746060965888,3812362178086008
2,0,55,1789633746060977152,3812362178096757
2,0,56,1789633746060987392,3812362178107493
2,0,57,1789633746060998656,3812362178118233
2,0,58,1789633746061008896,3812362178128937
2,0,59,1789633746061019136,3812362178139690
2,0,60,1789633746061030400,3812362178150405
2,0,61,1789633746061040640,3812362178161070
2,0,62,1789633746061051904,3812362178171777
2,0,63,1789633746061062144,3812362178182548
2,0,64,1789633746061073408,3812362178193256
2,0,65,1789633746061083648,3812362178204037
2,0,66,1789633746061094912,3812362178214759
2,0,67,1789633746061105152,3812362178225539
2,0,68,1789633746061116416,3812362178236228
2,0,69,1789633746061126656,3812362178246993
2,0,70,1789633746061137920,3812362178257697
2,0,71,1789633746061148160,3812362178268452
2,0,72,1789633746061159424,3812362178279186
2,0,73,1789633746061169664,3812362178289935
2,0,74,1789633746061180928,3812362178300632
2,0,75,1789633746061191168,3812362178311381
2,0,76,1789633746061202432,3812362178322080
2,0,77,1789633746061212672,3812362178332847
2,0,78,1789633746061223936,3812362178343568
2,0,79,1789633746061234176,3812362178354334
2,0,80,1789633746061245440,3812362178365079
2,0,81,1789633746061255680,3812362178375841
2,0,82,1789633746061266944,3812362178386557
2,0,83,1789633746061277184,3812362178397306
2,0,84,1789633746061288448,3812362178408037
2,0,85,1789633746061298688,3812362178418774
2,0,86,1789633746061309952,3812362178429540
2,0,87,1789633746061320192,3812362178440268
2,0,88,1789633746061331456,3812362178450988
2,0,89,1789633746061341696,3812362178461741
2,0,90,1789633746061352960,3812362178472526
2,0,91,1789633746061363200,3812362178483230
2,0,92,1789633746061374464,3812362178493983
2,0,93,1789633746061384704,3812362178504701
2,0,94,1789633746061394944,3812362178515397
2,0,95,1789633746061406208,3812362178526106
2,0,96,1789633746061416448,3812362178536814
2,0,97,1789633746061427712,3812362178547588
2,0,98,1789633746061437952,3812362178558297
2,0,99,1789633746061449216,3812362178569043
2,0,100,1789633746061459456,3812362178579780
2,0,101,1789633746061470720,3812362178590590
2,0,102,1789633746061480960,3812362178601328
2,0,103,1789633746061492224,3812362178612099
2,0,104,1789633746061502464,3812362178622808
2,0,105,1789633746061513728,3812362178633574
2,0,106,1789633746061523968,3812362178644294
2,0,107,1789633746061535232,3812362178655015
2,0,108,1789633746061545472,3812362178665708
2,0,109,1789633746061556736,3812362178676506
2,0,110,1789633746061566976,3812362178687232
2,0,111,1789633746061578240,3812362178697950
2,0,112,1789633746061588480,3812362178708666
2,0,113,1789633746061599744,3812362178719392
2,0,114,1789633746061609984,3812362178730163
2,0,115,1789633746061621248,3812362178740879
2,0,116,1789633746061631488,3812362178751639
2,0,117,1789633746061642752,3812362178762368
2,0,118,1789633746061652992,3812362178773103
2,0,119,1789633746061664256,3812362178783797
2,0,120,1789633746061674496,3812362178794579
2,0,121,1789633746061685760,3812362178805277
2,0,122,1789633746061696000,3812362178816010
2,0,123,1789633746061706240,3812362178826726
2,0,124,1789633746061717504,3812362178837468
