schema_version,trial,sample,gpu_ns,cpu_observed_ns
2,0,0,1789633759136056320,3812375253420550
2,0,1,1789633759136067584,3812375253431276
2,0,2,1789633759136078848,3812375253441981
2,0,3,1789633759136089088,3812375253452684
2,0,4,1789633759136100352,3812375253463410
2,0,5,1789633759136110592,3812375253474109
2,0,6,1789633759136121856,3812375253484956
2,0,7,1789633759136132096,3812375253495589
2,0,8,1789633759136143360,3812375253506330
2,0,9,1789633759136153600,3812375253517041
2,0,10,1789633759136164864,3812375253527786
2,0,11,1789633759136175104,3812375253538504
2,0,12,1789633759136185344,3812375253549261
2,0,13,1789633759136196608,3812375253559966
2,0,14,1789633759136206848,3812375253570678
2,0,15,1789633759136218112,3812375253581390
2,0,16,1789633759136228352,3812375253592253
2,0,17,1789633759136239616,3812375253602893
2,0,18,1789633759136249856,3812375253613669
2,0,19,1789633759136261120,3812375253661618
2,0,20,1789633759136271360,3812375253661618
2,0,21,1789633759136282624,3812375253661618
2,0,22,1789633759136292864,3812375253661618
2,0,23,1789633759136304128,3812375253667333
2,0,24,1789633759136314368,3812375253678053
2,0,25,1789633759136325632,3812375253688778
2,0,26,1789633759136335872,3812375253699504
2,0,27,1789633759136347136,3812375253710210
2,0,28,1789633759136357376,3812375253720941
2,0,29,1789633759136368640,3812375253731664
2,0,30,1789633759136378880,3812375253742401
2,0,31,1789633759136390144,3812375253753124
2,0,32,1789633759136400384,3812375253763864
2,0,33,1789633759136411648,3812375253774586
2,0,34,1789633759136421888,3812375253785301
2,0,35,1789633759136432128,3812375253796018
2,0,36,1789633759136443392,3812375253806753
2,0,37,1789633759136453632,3812375253817478
2,0,38,1789633759136464896,3812375253828209
2,0,39,1789633759136475136,3812375253838946
2,0,40,1789633759136486400,3812375253849693
2,0,41,1789633759136496640,3812375253860413
2,0,42,1789633759136507904,3812375253871138
2,0,43,1789633759136518144,3812375253881864
2,0,44,1789633759136529408,3812375253892593
2,0,45,1789633759136539648,3812375253903298
2,0,46,1789633759136550912,3812375253914061
2,0,47,1789633759136561152,3812375253924786
2,0,48,1789633759136572416,3812375253935506
2,0,49,1789633759136582656,3812375253946236
2,0,50,1789633759136593920,3812375253957037
2,0,51,1789633759136604160,3812375253967642
2,0,52,1789633759136615424,3812375253978376
2,0,53,1789633759136625664,3812375253989077
2,0,54,1789633759136636928,3812375253999846
2,0,55,1789633759136647168,3812375254010569
2,0,56,1789633759136658432,3812375254021295
2,0,57,1789633759136668672,3812375254032012
2,0,58,1789633759136678912,3812375254042699
2,0,59,1789633759136690176,3812375254053332
2,0,60,1789633759136700416,3812375254064096
2,0,61,1789633759136711680,3812375254074738
2,0,62,1789633759136721920,3812375254085553
2,0,63,1789633759136733184,3812375254096258
2,0,64,1789633759136743424,3812375254106990
2,0,65,1789633759136754688,3812375254117670
2,0,66,1789633759136764928,3812375254128449
2,0,67,1789633759136776192,3812375254139182
2,0,68,1789633759136786432,3812375254149906
2,0,69,1789633759136797696,3812375254160625
2,0,70,1789633759136807936,3812375254171362
2,0,71,1789633759136819200,3812375254182091
2,0,72,1789633759136829440,3812375254192802
2,0,73,1789633759136839680,3812375254203611
2,0,74,1789633759136850944,3812375254214435
2,0,75,1789633759136862208,3812375254225144
2,0,76,1789633759136872448,3812375254235892
2,0,77,1789633759136883712,3812375254246595
2,0,78,1789633759136893952,3812375254257352
2,0,79,1789633759136904192,3812375254268031
2,0,80,1789633759136915456,3812375254278824
2,0,81,1789633759136925696,3812375254289517
2,0,82,1789633759136936960,3812375254300264
2,0,83,1789633759136947200,3812375254310862
2,0,84,1789633759136958464,3812375254321582
2,0,85,1789633759136968704,3812375254332199
2,0,86,1789633759136979968,3812375254342786
2,0,87,1789633759136990208,3812375254353382
2,0,88,1789633759137000448,3812375254364022
2,0,89,1789633759137011712,3812375254374622
2,0,90,1789633759137021952,3812375254385253
2,0,91,1789633759137032192,3812375254395846
2,0,92,1789633759137043456,3812375254406471
2,0,93,1789633759137053696,3812375254417176
2,0,94,1789633759137064960,3812375254427762
2,0,95,1789633759137075200,3812375254438371
2,0,96,1789633759137085440,3812375254448975
2,0,97,1789633759137096704,3812375254459603
2,0,98,1789633759137106944,3812375254470215
2,0,99,1789633759137117184,3812375254480849
2,0,100,1789633759137128448,3812375254491460
2,0,101,1789633759137138688,3812375254502111
2,0,102,1789633759137149952,3812375254512857
2,0,103,1789633759137160192,3812375254523547
2,0,104,1789633759137170432,3812375254534219
2,0,105,1789633759137181696,3812375254544824
2,0,106,1789633759137191936,3812375254555437
2,0,107,1789633759137203200,3812375254566064
2,0,108,1789633759137213440,3812375254576730
2,0,109,1789633759137223680,3812375254587338
2,0,110,1789633759137234944,3812375254597933
2,0,111,1789633759137245184,3812375254608517
2,0,112,1789633759137255424,3812375254619142
2,0,113,1789633759137266688,3812375254629906
2,0,114,1789633759137276928,3812375254640495
2,0,115,1789633759137288192,3812375254651287
2,0,116,1789633759137298432,3812375254661884
2,0,117,1789633759137309696,3812375254672482
2,0,118,1789633759137319936,3812375254683084
2,0,119,1789633759137330176,3812375254693702
2,0,120,1789633759137341440,3812375254704306
