schema_version,trial,sample,gpu_ns,cpu_observed_ns
2,0,0,1789633594866825216,3812210981180791
2,0,1,1789633594866837504,3812210981192532
2,0,2,1789633594866849792,3812210981204329
2,0,3,1789633594866861056,3812210981216066
2,0,4,1789633594866873344,3812210981227751
2,0,5,1789633594866884608,3812210981239415
2,0,6,1789633594866895872,3812210981251083
2,0,7,1789633594866908160,3812210981262771
2,0,8,1789633594866919424,3812210981274423
2,0,9,1789633594866931712,3812210981286111
2,0,10,1789633594866942976,3812210981297782
2,0,11,1789633594866954240,3812210981309475
2,0,12,1789633594866966528,3812210981321192
2,0,13,1789633594866977792,3812210981332889
2,0,14,1789633594866990080,3812210981344543
2,0,15,1789633594867001344,3812210981356262
2,0,16,1789633594867012608,3812210981367962
2,0,17,1789633594867024896,3812210981379655
2,0,18,1789633594867036160,3812210981391380
2,0,19,1789633594867048448,3812210981403080
2,0,20,1789633594867059712,3812210981414775
2,0,21,1789633594867072000,3812210981426505
2,0,22,1789633594867083264,3812210981438182
2,0,23,1789633594867094528,3812210981449914
2,0,24,1789633594867106816,3812210981461588
2,0,25,1789633594867118080,3812210981473292
2,0,26,1789633594867130368,3812210981485005
2,0,27,1789633594867141632,3812210981496706
2,0,28,1789633594867153920,3812210981508429
2,0,29,1789633594867165184,3812210981520125
2,0,30,1789633594867176448,3812210981531835
2,0,31,1789633594867188736,3812210981543515
2,0,32,1789633594867200000,3812210981555240
2,0,33,1789633594867212288,3812210981566955
2,0,34,1789633594867223552,3812210981578663
2,0,35,1789633594867235840,3812210981590365
2,0,36,1789633594867247104,3812210981602035
2,0,37,1789633594867258368,3812210981613783
2,0,38,1789633594867270656,3812210981630334
2,0,39,1789633594867281920,3812210981637231
2,0,40,1789633594867294208,3812210981648935
2,0,41,1789633594867305472,3812210981660672
2,0,42,1789633594867317760,3812210981672332
2,0,43,1789633594867329024,3812210981684049
2,0,44,1789633594867341312,3812210981695752
2,0,45,1789633594867352576,3812210981707462
2,0,46,1789633594867363840,3812210981719169
2,0,47,1789633594867376128,3812210981730869
2,0,48,1789633594867387392,3812210981742582
2,0,49,1789633594867399680,3812210981754282
2,0,50,1789633594867410944,3812210981765982
2,0,51,1789633594867423232,3812210981777698
2,0,52,1789633594867434496,3812210981789402
2,0,53,1789633594867445760,3812210981801097
2,0,54,1789633594867458048,3812210981812797
2,0,55,1789633594867469312,3812210981824503
2,0,56,1789633594867481600,3812210981836212
2,0,57,1789633594867492864,3812210981847923
2,0,58,1789633594867505152,3812210981859615
2,0,59,1789633594867516416,3812210981871317
2,0,60,1789633594867527680,3812210981883032
2,0,61,1789633594867539968,3812210981894711
2,0,62,1789633594867551232,3812210981906446
2,0,63,1789633594867563520,3812210981918158
2,0,64,1789633594867574784,3812210981929882
2,0,65,1789633594867587072,3812210981941552
2,0,66,1789633594867598336,3812210981953265
2,0,67,1789633594867609600,3812210981964954
2,0,68,1789633594867621888,3812210981976673
2,0,69,1789633594867633152,3812210981988365
2,0,70,1789633594867645440,3812210982000082
2,0,71,1789633594867656704,3812210982011812
2,0,72,1789633594867668992,3812210982023494
2,0,73,1789633594867680256,3812210982035185
2,0,74,1789633594867691520,3812210982046889
2,0,75,1789633594867703808,3812210982058589
2,0,76,1789633594867715072,3812210982070306
2,0,77,1789633594867727360,3812210982082006
2,0,78,1789633594867738624,3812210982093706
2,0,79,1789633594867750912,3812210982105437
2,0,80,1789633594867762176,3812210982117137
2,0,81,1789633594867774464,3812210982128831
2,0,82,1789633594867785728,3812210982140537
2,0,83,1789633594867796992,3812210982152249
2,0,84,1789633594867809280,3812210982163994
2,0,85,1789633594867820544,3812210982175640
2,0,86,1789633594867832832,3812210982187322
2,0,87,1789633594867844096,3812210982199024
2,0,88,1789633594867855360,3812210982210751
2,0,89,1789633594867867648,3812210982222449
2,0,90,1789633594867878912,3812210982234171
2,0,91,1789633594867891200,3812210982245853
2,0,92,1789633594867902464,3812210982257562
2,0,93,1789633594867914752,3812210982269278
2,0,94,1789633594867926016,3812210982280975
2,0,95,1789633594867938304,3812210982292684
2,0,96,1789633594867949568,3812210982304395
2,0,97,1789633594867960832,3812210982316102
2,0,98,1789633594867973120,3812210982340458
2,0,99,1789633594867984384,3812210982340458
2,0,100,1789633594867996672,3812210982351209
2,0,101,1789633594868007936,3812210982362925
2,0,102,1789633594868019200,3812210982374612
2,0,103,1789633594868031488,3812210982386331
2,0,104,1789633594868042752,3812210982398044
2,0,105,1789633594868055040,3812210982409682
2,0,106,1789633594868066304,3812210982421366
2,0,107,1789633594868078592,3812210982433102
2,0,108,1789633594868089856,3812210982444802
2,0,109,1789633594868101120,3812210982456502
2,0,110,1789633594868113408,3812210982468204
2,0,111,1789633594868124672,3812210982479931
2,0,112,1789633594868136960,3812210982491614
2,0,113,1789633594868148224,3812210982503342
2,0,114,1789633594868160512,3812210982515031
2,0,115,1789633594868171776,3812210982526742
2,0,116,1789633594868183040,3812210982538442
2,0,117,1789633594868195328,3812210982550138
2,0,118,1789633594868206592,3812210982561855
2,0,119,1789633594868218880,3812210982573573
2,0,120,1789633594868230144,3812210982585261
2,0,121,1789633594868242432,3812210982596971
2,0,122,1789633594868253696,3812210982608673
2,0,123,1789633594868264960,3812210982620373
2,0,124,1789633594868277248,3812210982632091
2,0,125,1789633594868288512,3812210982643790
2,0,126,1789633594868300800,3812210982655491
2,0,127,1789633594868312064,3812210982667011
2,0,128,1789633594868323328,3812210982678729
2,0,129,1789633594868335616,3812210982690436
2,0,130,1789633594868346880,3812210982702136
2,0,131,1789633594868359168,3812210982713851
2,0,132,1789633594868370432,3812210982725571
2,0,133,1789633594868382720,3812210982737253
2,0,134,1789633594868393984,3812210982748971
2,0,135,1789633594868406272,3812210982760689
2,0,136,1789633594868417536,3812210982772371
