schema_version,trial,sample,gpu_ns,cpu_observed_ns
2,0,0,1789633748186294272,3812364303454778
2,0,1,1789633748186305536,3812364303465841
2,0,2,1789633748186316800,3812364303476846
2,0,3,1789633748186328064,3812364303487866
2,0,4,1789633748186339328,3812364303498894
2,0,5,1789633748186350592,3812364303509918
2,0,6,1789633748186360832,3812364303521077
2,0,7,1789633748186372096,3812364303532077
2,0,8,1789633748186383360,3812364303543078
2,0,9,1789633748186394624,3812364303554121
2,0,10,1789633748186405888,3812364303565186
2,0,11,1789633748186416128,3812364303576194
2,0,12,1789633748186427392,3812364303587186
2,0,13,1789633748186438656,3812364303598181
2,0,14,1789633748186449920,3812364303609211
2,0,15,1789633748186460160,3812364303620363
2,0,16,1789633748186471424,3812364303631394
2,0,17,1789633748186482688,3812364303642477
2,0,18,1789633748186493952,3812364303653534
2,0,19,1789633748186505216,3812364303664557
2,0,20,1789633748186515456,3812364303675698
2,0,21,1789633748186526720,3812364303686698
2,0,22,1789633748186537984,3812364303697734
2,0,23,1789633748186549248,3812364303708751
2,0,24,1789633748186560512,3812364303719803
2,0,25,1789633748186570752,3812364303730861
2,0,26,1789633748186582016,3812364303741914
2,0,27,1789633748186593280,3812364303752974
2,0,28,1789633748186604544,3812364303764018
2,0,29,1789633748186614784,3812364303775041
2,0,30,1789633748186626048,3812364303786197
2,0,31,1789633748186637312,3812364303797217
2,0,32,1789633748186648576,3812364303808221
2,0,33,1789633748186659840,3812364303819297
2,0,34,1789633748186670080,3812364303830329
2,0,35,1789633748186681344,3812364303841409
2,0,36,1789633748186692608,3812364303852551
2,0,37,1789633748186703872,3812364303863551
2,0,38,1789633748186715136,3812364303874598
2,0,39,1789633748186725376,3812364303885649
2,0,40,1789633748186736640,3812364303896701
2,0,41,1789633748186747904,3812364303907729
2,0,42,1789633748186759168,3812364303918798
2,0,43,1789633748186770432,3812364303929858
2,0,44,1789633748186780672,3812364303940941
2,0,45,1789633748186791936,3812364303951997
2,0,46,1789633748186803200,3812364303963006
2,0,47,1789633748186814464,3812364303974004
2,0,48,1789633748186824704,3812364303985017
2,0,49,1789633748186835968,3812364303996031
2,0,50,1789633748186847232,3812364304007037
2,0,51,1789633748186858496,3812364304018074
2,0,52,1789633748186869760,3812364304029086
2,0,53,1789633748186880000,3812364304039966
2,0,54,1789633748186891264,3812364304050971
2,0,55,1789633748186902528,3812364304061981
2,0,56,1789633748186912768,3812364304072877
2,0,57,1789633748186924032,3812364304083797
2,0,58,1789633748186935296,3812364304094714
2,0,59,1789633748186945536,3812364304105641
2,0,60,1789633748186956800,3812364304116649
2,0,61,1789633748186968064,3812364304127537
2,0,62,1789633748186978304,3812364304138529
2,0,63,1789633748186989568,3812364304149434
2,0,64,1789633748187000832,3812364304160449
2,0,65,1789633748187012096,3812364304171454
2,0,66,1789633748187022336,3812364304182463
2,0,67,1789633748187033600,3812364304193374
2,0,68,1789633748187044864,3812364304204378
2,0,69,1789633748187056128,3812364304215311
2,0,70,1789633748187066368,3812364304226321
2,0,71,1789633748187077632,3812364304237183
2,0,72,1789633748187088896,3812364304248231
2,0,73,1789633748187099136,3812364304259231
2,0,74,1789633748187110400,3812364304270134
2,0,75,1789633748187121664,3812364304281046
2,0,76,1789633748187131904,3812364304292057
2,0,77,1789633748187143168,3812364304303061
